task_id,task_type,model_key,model_id,prompt_key,claude_structure,claude_hallucination,claude_completeness,claude_token_efficiency,claude_parse_error,gpt4o_structure,gpt4o_hallucination,gpt4o_completeness,gpt4o_token_efficiency,gpt4o_parse_error,agreement_structure_diff,agreement_hallucination_diff,agreement_completeness_diff,agreement_mean_diff,agreement_exact_match,output_tokens,total_tokens,latency_s,api
T03,constant_emergence,gemma-4b,gemma3:4b,wlm_sl,1,3,1,0.246,False,3,4,2,0.4429,False,2.0,1.0,1.0,1.333,False,874,1805,10.462,ollama
T04,cross_domain_mapping,gemma-4b,gemma3:4b,wlm_sl,1,3,1,0.2659,False,1,2,1,0.2127,False,0.0,1.0,0.0,0.333,False,527,1550,7.14,ollama
T05,hallucination_suppression,gemma-4b,gemma3:4b,wlm_sl,3,2,4,0.4478,False,4,5,4,0.6468,False,1.0,3.0,0.0,1.333,False,811,1716,9.978,ollama
T06,math_proof_verification,gemma-4b,gemma3:4b,wlm_sl,2,2,1,0.246,False,2,3,2,0.3444,False,0.0,1.0,1.0,0.667,False,875,1968,10.318,ollama
T07,causal_inference,gemma-4b,gemma3:4b,wlm_sl,2,3,4,0.4331,False,4,5,4,0.6256,False,2.0,2.0,0.0,1.333,False,1018,1984,11.905,ollama
T01,structure_coherence,gemma-4b,gemma3:4b,wlm_hybrid_v2,0,0,0,0.0,True,5,5,5,0.733,False,5.0,5.0,5.0,5.0,False,916,2518,11.098,ollama
T02,offset_reasoning,gemma-4b,gemma3:4b,wlm_hybrid_v2,2,3,3,0.4031,False,5,5,5,0.7559,False,3.0,2.0,2.0,2.333,False,745,2646,9.475,ollama
T03,constant_emergence,gemma-4b,gemma3:4b,wlm_hybrid_v2,2,2,2,0.2908,False,4,5,4,0.6301,False,2.0,3.0,2.0,2.333,False,969,2937,11.439,ollama
T04,cross_domain_mapping,gemma-4b,gemma3:4b,wlm_hybrid_v2,2,4,3,0.4579,False,5,5,5,0.7632,False,3.0,1.0,2.0,2.0,False,699,2715,9.046,ollama
T05,hallucination_suppression,gemma-4b,gemma3:4b,wlm_hybrid_v2,2,2,2,0.3024,False,4,5,5,0.7055,False,2.0,3.0,3.0,2.667,False,745,2667,9.408,ollama
T06,math_proof_verification,gemma-4b,gemma3:4b,wlm_hybrid_v2,2,2,2,0.2967,False,3,4,5,0.5934,False,1.0,2.0,3.0,2.0,False,845,2819,10.329,ollama
T07,causal_inference,gemma-4b,gemma3:4b,wlm_hybrid_v2,2,4,3,0.4413,False,4,5,5,0.6865,False,2.0,1.0,2.0,1.667,False,895,2865,10.691,ollama
T01,structure_coherence,gemma-4b,gemma3:4b,base_a,3,4,2,0.4144,False,4,5,4,0.5986,False,1.0,1.0,2.0,1.333,False,1392,1581,14.675,ollama
T02,offset_reasoning,gemma-4b,gemma3:4b,base_a,3,2,2,0.3447,False,5,5,4,0.6894,False,2.0,3.0,2.0,2.333,False,870,1053,10.01,ollama
T03,constant_emergence,gemma-4b,gemma3:4b,base_a,2,2,2,0.2826,False,4,4,3,0.518,False,2.0,2.0,1.0,1.667,False,1185,1418,12.831,ollama
T04,cross_domain_mapping,gemma-4b,gemma3:4b,base_a,4,5,5,0.7034,False,5,5,5,0.7536,False,1.0,0.0,0.0,0.333,False,760,1085,9.133,ollama
T05,hallucination_suppression,gemma-4b,gemma3:4b,base_a,2,1,2,0.2407,False,4,3,3,0.4814,False,2.0,2.0,1.0,1.667,False,1016,1223,11.332,ollama
T06,math_proof_verification,gemma-4b,gemma3:4b,base_a,4,2,3,0.4128,False,3,2,3,0.3669,False,1.0,0.0,0.0,0.333,False,1432,1827,15.089,ollama
T07,causal_inference,gemma-4b,gemma3:4b,base_a,3,2,2,0.3348,False,3,2,3,0.3827,False,0.0,0.0,1.0,0.333,False,1062,1330,11.776,ollama
T01,structure_coherence,gemma-4b,gemma3:4b,base_b,4,4,2,0.4655,False,3,4,3,0.4655,False,1.0,0.0,1.0,0.667,False,1286,1720,13.831,ollama
T02,offset_reasoning,gemma-4b,gemma3:4b,base_b,2,3,2,0.35,False,4,5,4,0.65,False,2.0,2.0,2.0,2.0,False,785,1213,9.315,ollama
T03,constant_emergence,gemma-4b,gemma3:4b,base_b,3,2,2,0.3356,False,4,5,3,0.5754,False,1.0,3.0,1.0,1.667,False,1044,1522,11.673,ollama
T04,cross_domain_mapping,gemma-4b,gemma3:4b,base_b,4,5,1,0.4608,False,4,5,3,0.553,False,0.0,0.0,2.0,0.667,False,1384,1954,14.747,ollama
T05,hallucination_suppression,gemma-4b,gemma3:4b,base_b,2,2,2,0.2916,False,3,2,3,0.3888,False,1.0,0.0,1.0,0.667,False,951,1403,10.849,ollama
T06,math_proof_verification,gemma-4b,gemma3:4b,base_b,3,2,2,0.3357,False,3,4,3,0.4796,False,0.0,2.0,1.0,1.0,False,1042,1682,11.738,ollama
T07,causal_inference,gemma-4b,gemma3:4b,base_b,2,3,1,0.2816,False,4,5,3,0.5632,False,2.0,2.0,2.0,2.0,False,1214,1727,13.162,ollama
